"Variable","Noise","beta_S","beta_P","mean","error"
"Error",0.5,1,1,0.339,0.00473393504540371
"Error",0.5,1,1.5,0.3188,0.00466034632648565
"Error",0.5,1,2,0.3138,0.00464059365932324
"Error",0.5,1,2.5,0.3089,0.00462062918025264
"Error",0.5,1,3,0.309,0.00462104267493175
"Error",0.5,1,3.5,0.3498,0.00476930504655162
"Error",0.5,1,4,0.3241,0.00468060998278869
"Error",0.5,1,4.5,0.3692,0.00482612320051143
"Error",0.5,1,5,0.4151,0.00492763910637907
"Error",0.5,1,5.5,0.4511,0.00497627926623231
"Error",0.5,1,6,0.4592,0.00498357498207464
"Error",0.5,1,6.5,0.4546,0.00497959472611614
"Error",0.5,1,7,0.4494,0.00497457924289727
"Error",0.5,1,7.5,0.4838,0.00499762479837798
"Error",0.5,1,8,0.5074,0.00499970236137815
"Error",0.5,1,8.5,0.4862,0.00499834516069414
"Error",0.5,1,9,0.5122,0.00499876132271547
"Error",0.5,1,9.5,0.4678,0.00498987032703136
"Error",0.5,1,10,0.5085,0.00499952743041307
"Error",0.5,1.5,1,0.2942,0.00455705087433387
"Error",0.5,1.5,1.5,0.2747,0.00446385299918802
"Error",0.5,1.5,2,0.2508,0.0043349527311746
"Error",0.5,1.5,2.5,0.2385,0.00426187650679087
"Error",0.5,1.5,3,0.2396,0.00426860704452987
"Error",0.5,1.5,3.5,0.2352,0.0042414496330263
"Error",0.5,1.5,4,0.273,0.00445523118462901
"Error",0.5,1.5,4.5,0.3093,0.00462228163883973
"Error",0.5,1.5,5,0.3778,0.00484861494724944
"Error",0.5,1.5,5.5,0.3271,0.00469177581263508
"Error",0.5,1.5,6,0.3989,0.00489696610440615
"Error",0.5,1.5,6.5,0.3574,0.00479257977315852
"Error",0.5,1.5,7,0.4003,0.00489983589920968
"Error",0.5,1.5,7.5,0.5196,0.00499640674965928
"Error",0.5,1.5,8,0.5054,0.00499995839566649
"Error",0.5,1.5,8.5,0.5698,0.00495128746133291
"Error",0.5,1.5,9,0.5168,0.00499742668053697
"Error",0.5,1.5,9.5,0.5213,0.00499571083157055
"Error",0.5,1.5,10,0.507,0.00499975997023617
"Error",0.5,2,1,0.2444,0.004297523806925
"Error",0.5,2,1.5,0.2259,0.0041819454643487
"Error",0.5,2,2,0.2093,0.00406829277469187
"Error",0.5,2,2.5,0.2004,0.00400319704219713
"Error",0.5,2,3,0.179,0.00383371487424061
"Error",0.5,2,3.5,0.1846,0.00387992131092087
"Error",0.5,2,4,0.175,0.00379986103619454
"Error",0.5,2,4.5,0.193,0.0039467274628186
"Error",0.5,2,5,0.2615,0.00439473621172387
"Error",0.5,2,5.5,0.2831,0.00450527121790405
"Error",0.5,2,6,0.2792,0.00448628450667894
"Error",0.5,2,6.5,0.3763,0.00484480940985523
"Error",0.5,2,7,0.4467,0.00497175852574155
"Error",0.5,2,7.5,0.4557,0.0049805854699184
"Error",0.5,2,8,0.5103,0.00499918895312219
"Error",0.5,2,8.5,0.455,0.00497995783094594
"Error",0.5,2,9,0.6063,0.00488594087580112
"Error",0.5,2,9.5,0.4731,0.00499300831295135
"Error",0.5,2,10,0.5395,0.00498462231728389
"Error",0.5,2.5,1,0.2416,0.00428074485079966
"Error",0.5,2.5,1.5,0.1992,0.00399418719555497
"Error",0.5,2.5,2,0.1839,0.00387421991605998
"Error",0.5,2.5,2.5,0.1818,0.00385698893391771
"Error",0.5,2.5,3,0.1646,0.00370837689642256
"Error",0.5,2.5,3.5,0.1487,0.00355810300717966
"Error",0.5,2.5,4,0.1463,0.00353424392027613
"Error",0.5,2.5,4.5,0.1398,0.00346796751424635
"Error",0.5,2.5,5,0.182,0.00385863821948766
"Error",0.5,2.5,5.5,0.2521,0.00434240079270263
"Error",0.5,2.5,6,0.2716,0.00444806952871167
"Error",0.5,2.5,6.5,0.3572,0.00479198417268162
"Error",0.5,2.5,7,0.4046,0.00490839008528488
"Error",0.5,2.5,7.5,0.3652,0.00481510275294849
"Error",0.5,2.5,8,0.4023,0.00490386335327349
"Error",0.5,2.5,8.5,0.4463,0.0049713280328541
"Error",0.5,2.5,9,0.4379,0.00496153410570443
"Error",0.5,2.5,9.5,0.4336,0.00495596208177742
"Error",0.5,2.5,10,0.4563,0.00498111555288724
"Error",0.5,3,1,0.2113,0.00408251119897655
"Error",0.5,3,1.5,0.1772,0.00381856964679378
"Error",0.5,3,2,0.1563,0.00363157676980447
"Error",0.5,3,2.5,0.1479,0.00355018582357856
"Error",0.5,3,3,0.1382,0.0034512703641866
"Error",0.5,3,3.5,0.1275,0.00333548910187919
"Error",0.5,3,4,0.1439,0.00351005855380008
"Error",0.5,3,4.5,0.1505,0.00357578713367596
"Error",0.5,3,5,0.1364,0.00343229982201538
"Error",0.5,3,5.5,0.1634,0.00369748713873546
"Error",0.5,3,6,0.2358,0.00424519000326445
"Error",0.5,3,6.5,0.267,0.00442414481066461
"Error",0.5,3,7,0.3091,0.00462145591621066
"Error",0.5,3,7.5,0.388,0.00487318938658039
"Error",0.5,3,8,0.3835,0.00486262681212032
"Error",0.5,3,8.5,0.4167,0.00493036934257317
"Error",0.5,3,9,0.4475,0.00497260974587474
"Error",0.5,3,9.5,0.4282,0.00494842648651763
"Error",0.5,3,10,0.3716,0.00483256447116195
"Error",0.5,3.5,1,0.2017,0.00401289438337632
"Error",0.5,3.5,1.5,0.1792,0.00383538877047713
"Error",0.5,3.5,2,0.1547,0.00361636541431877
"Error",0.5,3.5,2.5,0.1358,0.0034259319463425
"Error",0.5,3.5,3,0.1185,0.00323215403128752
"Error",0.5,3.5,3.5,0.1162,0.00320480624660959
"Error",0.5,3.5,4,0.1063,0.00308236615250522
"Error",0.5,3.5,4.5,0.1042,0.00305535096461138
"Error",0.5,3.5,5,0.1207,0.00325794604332885
"Error",0.5,3.5,5.5,0.1273,0.00333325397445287
"Error",0.5,3.5,6,0.1244,0.00330053834326092
"Error",0.5,3.5,6.5,0.179,0.00383371487424061
"Error",0.5,3.5,7,0.2498,0.00432918816719933
