"Variable","Noise","switch_rate","beta_S","beta_P","mean","error"
"Error",0,0.01,1,1,0.3233,0.00467759542819802
"Error",0,0.01,1,1.5,0.3203,0.00466615133668312
"Error",0,0.01,1,2,0.3194,0.00466267498908142
"Error",0,0.01,1,2.5,0.2986,0.00457666894038218
"Error",0,0.01,1,3,0.3238,0.00467948135529734
"Error",0,0.01,1,3.5,0.3165,0.00465133728016464
"Error",0,0.01,1,4,0.3692,0.00482612320051143
"Error",0,0.01,1,4.5,0.3775,0.00484785779210955
"Error",0,0.01,1,5,0.3517,0.00477524777358515
"Error",0,0.01,1,5.5,0.3869,0.00487064793647951
"Error",0,0.01,1,6,0.4626,0.00498624209811619
"Error",0,0.01,1,6.5,0.3918,0.00488176803688137
"Error",0,0.01,1,7,0.492,0.00499960994578187
"Error",0,0.01,1,7.5,0.4849,0.00499796928458919
"Error",0,0.01,1,8,0.5122,0.00499876132271547
"Error",0,0.01,1,8.5,0.4578,0.00498240889930202
"Error",0,0.01,1,9,0.4866,0.00499845400641493
"Error",0,0.01,1,9.5,0.4192,0.00493452844323505
"Error",0,0.01,1,10,0.5069,0.00499977387227436
"Error",0,0.01,1.5,1,0.2598,0.00438546682029669
"Error",0,0.01,1.5,1.5,0.2452,0.00430227230131886
"Error",0,0.01,1.5,2,0.2331,0.00422826522615153
"Error",0,0.01,1.5,2.5,0.2151,0.00410912247186049
"Error",0,0.01,1.5,3,0.2634,0.00440499539142095
"Error",0,0.01,1.5,3.5,0.2478,0.00431756646017335
"Error",0,0.01,1.5,4,0.2577,0.00437389804389744
"Error",0,0.01,1.5,4.5,0.3257,0.00468659230302162
"Error",0,0.01,1.5,5,0.3128,0.00463656831898093
"Error",0,0.01,1.5,5.5,0.4193,0.00493469209967672
"Error",0,0.01,1.5,6,0.4261,0.0049453336219575
"Error",0,0.01,1.5,6.5,0.5225,0.00499518469999045
"Error",0,0.01,1.5,7,0.4584,0.00498291349941922
"Error",0,0.01,1.5,7.5,0.3929,0.00488419333508139
"Error",0,0.01,1.5,8,0.5081,0.00499959384288958
"Error",0,0.01,1.5,8.5,0.4839,0.00499765711685644
"Error",0,0.01,1.5,9,0.5118,0.00499885735518486
"Error",0,0.01,1.5,9.5,0.4544,0.00497941195869005
"Error",0,0.01,1.5,10,0.4543,0.00497932027118525
"Error",0,0.01,2,1,0.21,0.00407328604027714
"Error",0,0.01,2,1.5,0.1954,0.00396528137029827
"Error",0,0.01,2,2,0.1892,0.00391686994767744
"Error",0,0.01,2,2.5,0.167,0.00372994520725505
