gen_log_trans_mats,recovered_trans_mats
[0.75 0.25 0.25 0.75],[0.73877616 0.26122384 0.19148661 0.80851339]
[0.75242424 0.24757576 0.24757576 0.75242424],[0.77634051 0.22365949 0.18772716 0.81227284]
[0.75484848 0.24515152 0.24515152 0.75484848],[0.74726162 0.25273838 0.19403463 0.80596537]
[0.75727273 0.24272727 0.24272727 0.75727273],[0.78047418 0.21952582 0.19174718 0.80825282]
[0.75969697 0.24030303 0.24030303 0.75969697],[0.75801868 0.24198132 0.20258744 0.79741256]
[0.76212121 0.23787879 0.23787879 0.76212121],[0.78299532 0.21700468 0.17834231 0.82165769]
[0.76454545 0.23545455 0.23545455 0.76454545],[0.75802595 0.24197405 0.20616537 0.79383463]
[0.7669697 0.2330303 0.2330303 0.7669697],[0.76133246 0.23866754 0.19755922 0.80244078]
[0.76939394 0.23060606 0.23060606 0.76939394],[0.79403421 0.20596579 0.18142377 0.81857623]
[0.77181818 0.22818182 0.22818182 0.77181818],[0.79196072 0.20803928 0.17510589 0.82489411]
[0.77424242 0.22575758 0.22575758 0.77424242],[0.79726354 0.20273646 0.18042469 0.81957531]
[0.77666667 0.22333333 0.22333333 0.77666667],[0.79527918 0.20472082 0.17889179 0.82110821]
[0.77909091 0.22090909 0.22090909 0.77909091],[0.77305925 0.22694075 0.19948487 0.80051513]
[0.78151515 0.21848485 0.21848485 0.78151515],[0.81435624 0.18564376 0.16601505 0.83398495]
[0.78393939 0.21606061 0.21606061 0.78393939],[0.78892533 0.21107467 0.18687103 0.81312897]
[0.78636364 0.21363636 0.21363636 0.78636364],[0.80988433 0.19011567 0.16375391 0.83624609]
[0.78878788 0.21121212 0.21121212 0.78878788],[0.79017011 0.20982989 0.19112364 0.80887636]
[0.79121212 0.20878788 0.20878788 0.79121212],[0.79401372 0.20598628 0.18821071 0.81178929]
[0.79363636 0.20636364 0.20636364 0.79363636],[0.79515671 0.20484329 0.18338657 0.81661343]
[0.79606061 0.20393939 0.20393939 0.79606061],[0.81695369 0.18304631 0.15991321 0.84008679]
[0.79848485 0.20151515 0.20151515 0.79848485],[0.80152932 0.19847068 0.18495924 0.81504076]
[0.80090909 0.19909091 0.19909091 0.80090909],[0.80163168 0.19836832 0.17347282 0.82652718]
[0.80333333 0.19666667 0.19666667 0.80333333],[0.81132419 0.18867581 0.17440526 0.82559474]
[0.80575758 0.19424242 0.19424242 0.80575758],[0.82363515 0.17636485 0.16704562 0.83295438]
[0.80818182 0.19181818 0.19181818 0.80818182],[0.7970556  0.2029444  0.18251306 0.81748694]
[0.81060606 0.18939394 0.18939394 0.81060606],[0.83653306 0.16346694 0.15755654 0.84244346]
[0.8130303 0.1869697 0.1869697 0.8130303],[0.83808685 0.16191315 0.14558708 0.85441292]
[0.81545455 0.18454545 0.18454545 0.81545455],[0.81557176 0.18442824 0.17177934 0.82822066]
[0.81787879 0.18212121 0.18212121 0.81787879],[0.82696614 0.17303386 0.1722116  0.8277884 ]
[0.82030303 0.17969697 0.17969697 0.82030303],[0.81871646 0.18128354 0.1640523  0.8359477 ]
[0.82272727 0.17727273 0.17727273 0.82272727],[0.82462925 0.17537075 0.159491   0.840509  ]
[0.82515152 0.17484848 0.17484848 0.82515152],[0.82399244 0.17600756 0.16947614 0.83052386]
[0.82757576 0.17242424 0.17242424 0.82757576],[0.84339567 0.15660433 0.14290352 0.85709648]
[0.83 0.17 0.17 0.83],[0.82981272 0.17018728 0.16251889 0.83748111]
[0.83242424 0.16757576 0.16757576 0.83242424],[0.83452106 0.16547894 0.15332308 0.84667692]
[0.83484848 0.16515152 0.16515152 0.83484848],[0.83750634 0.16249366 0.15318162 0.84681838]
[0.83727273 0.16272727 0.16272727 0.83727273],[0.85092446 0.14907554 0.13948942 0.86051058]
[0.83969697 0.16030303 0.16030303 0.83969697],[0.84464417 0.15535583 0.14615251 0.85384749]
[0.84212121 0.15787879 0.15787879 0.84212121],[0.84446594 0.15553406 0.16103432 0.83896568]
[0.84454545 0.15545455 0.15545455 0.84454545],[0.86266535 0.13733465 0.14287198 0.85712802]
[0.8469697 0.1530303 0.1530303 0.8469697],[0.86002099 0.13997901 0.13749725 0.86250275]
[0.84939394 0.15060606 0.15060606 0.84939394],[0.86072413 0.13927587 0.13053392 0.86946608]
[0.85181818 0.14818182 0.14818182 0.85181818],[0.85457214 0.14542786 0.13954453 0.86045547]
[0.85424242 0.14575758 0.14575758 0.85424242],[0.87953162 0.12046838 0.11386368 0.88613632]
[0.85666667 0.14333333 0.14333333 0.85666667],[0.8676664  0.1323336  0.13016669 0.86983331]
[0.85909091 0.14090909 0.14090909 0.85909091],[0.85601004 0.14398996 0.14261506 0.85738494]
