gen_log_trans_mats,recovered_trans_mats
[0.75 0.25 0.25 0.75],[0.73823424 0.26176576 0.18926071 0.81073929]
[0.75242424 0.24757576 0.24757576 0.75242424],[0.73848612 0.26151388 0.21237666 0.78762334]
[0.75484848 0.24515152 0.24515152 0.75484848],[0.76960816 0.23039184 0.19343701 0.80656299]
[0.75727273 0.24272727 0.24272727 0.75727273],[0.73782523 0.26217477 0.20057703 0.79942297]
[0.75969697 0.24030303 0.24030303 0.75969697],[0.75696313 0.24303687 0.19328216 0.80671784]
[0.76212121 0.23787879 0.23787879 0.76212121],[0.75612156 0.24387844 0.18303715 0.81696285]
[0.76454545 0.23545455 0.23545455 0.76454545],[0.71872448 0.28127552 0.21904117 0.78095883]
[0.7669697 0.2330303 0.2330303 0.7669697],[0.75273997 0.24726003 0.22221801 0.77778199]
[0.76939394 0.23060606 0.23060606 0.76939394],[0.96055493 0.03944507 0.02668861 0.97331139]
[0.77181818 0.22818182 0.22818182 0.77181818],[0.77491657 0.22508343 0.17391726 0.82608274]
[0.77424242 0.22575758 0.22575758 0.77424242],[0.76993319 0.23006681 0.23317247 0.76682753]
[0.77666667 0.22333333 0.22333333 0.77666667],[0.78147003 0.21852997 0.19477113 0.80522887]
[0.77909091 0.22090909 0.22090909 0.77909091],[0.77478131 0.22521869 0.17597163 0.82402837]
[0.78151515 0.21848485 0.21848485 0.78151515],[0.7848186  0.2151814  0.20759895 0.79240105]
[0.78393939 0.21606061 0.21606061 0.78393939],[0.80433159 0.19566841 0.1553336  0.8446664 ]
[0.78636364 0.21363636 0.21363636 0.78636364],[0.7642346  0.2357654  0.17124795 0.82875205]
[0.78878788 0.21121212 0.21121212 0.78878788],[0.7942413  0.2057587  0.18393535 0.81606465]
[0.79121212 0.20878788 0.20878788 0.79121212],[0.78501042 0.21498958 0.19614303 0.80385697]
[0.79363636 0.20636364 0.20636364 0.79363636],[0.79771226 0.20228774 0.18766545 0.81233455]
[0.79606061 0.20393939 0.20393939 0.79606061],[0.80696466 0.19303534 0.16989741 0.83010259]
[0.79848485 0.20151515 0.20151515 0.79848485],[0.79397966 0.20602034 0.21244157 0.78755843]
[0.80090909 0.19909091 0.19909091 0.80090909],[0.7842657  0.2157343  0.18642023 0.81357977]
[0.80333333 0.19666667 0.19666667 0.80333333],[0.78024834 0.21975166 0.18554045 0.81445955]
[0.80575758 0.19424242 0.19424242 0.80575758],[0.8172533  0.1827467  0.14968623 0.85031377]
[0.80818182 0.19181818 0.19181818 0.80818182],[0.85272157 0.14727843 0.12335781 0.87664219]
[0.81060606 0.18939394 0.18939394 0.81060606],[0.80347096 0.19652904 0.14859425 0.85140575]
[0.8130303 0.1869697 0.1869697 0.8130303],[0.83853897 0.16146103 0.13027788 0.86972212]
[0.81545455 0.18454545 0.18454545 0.81545455],[0.80272195 0.19727805 0.16059449 0.83940551]
[0.81787879 0.18212121 0.18212121 0.81787879],[0.95553575 0.04446425 0.04267737 0.95732263]
[0.82030303 0.17969697 0.17969697 0.82030303],[0.82150716 0.17849284 0.17115619 0.82884381]
[0.82272727 0.17727273 0.17727273 0.82272727],[0.96406786 0.03593214 0.04260395 0.95739605]
[0.82515152 0.17484848 0.17484848 0.82515152],[nan nan nan nan]
[0.82757576 0.17242424 0.17242424 0.82757576],[0.98459985 0.01540015 0.01939332 0.98060668]
[0.83 0.17 0.17 0.83],[0.82123361 0.17876639 0.15144238 0.84855762]
[0.83242424 0.16757576 0.16757576 0.83242424],[0.83135074 0.16864926 0.14989192 0.85010808]
[0.83484848 0.16515152 0.16515152 0.83484848],[0.84595867 0.15404133 0.15054788 0.84945212]
[0.83727273 0.16272727 0.16272727 0.83727273],[0.84433828 0.15566172 0.1382704  0.8617296 ]
[0.83969697 0.16030303 0.16030303 0.83969697],[0.83575902 0.16424098 0.17094067 0.82905933]
[0.84212121 0.15787879 0.15787879 0.84212121],[0.84814764 0.15185236 0.14176462 0.85823538]
[0.84454545 0.15545455 0.15545455 0.84454545],[0.84863936 0.15136064 0.15086778 0.84913222]
[0.8469697 0.1530303 0.1530303 0.8469697],[0.84882605 0.15117395 0.14640663 0.85359337]
[0.84939394 0.15060606 0.15060606 0.84939394],[0.82988254 0.17011746 0.14026661 0.85973339]
[0.85181818 0.14818182 0.14818182 0.85181818],[0.85683945 0.14316055 0.13956628 0.86043372]
[0.85424242 0.14575758 0.14575758 0.85424242],[0.85164913 0.14835087 0.13674046 0.86325954]
[0.85666667 0.14333333 0.14333333 0.85666667],[0.86151667 0.13848333 0.1330284  0.8669716 ]
[0.85909091 0.14090909 0.14090909 0.85909091],[0.87299009 0.12700991 0.10277767 0.89722233]
[0.86151515 0.13848485 0.13848485 0.86151515],[0.85894024 0.14105976 0.14788608 0.85211392]
[0.86393939 0.13606061 0.13606061 0.86393939],[0.8663465  0.1336535  0.13297588 0.86702412]
[0.86636364 0.13363636 0.13363636 0.86636364],[0.87673414 0.12326586 0.12713913 0.87286087]
[0.86878788 0.13121212 0.13121212 0.86878788],[0.89416402 0.10583598 0.10586645 0.89413355]
[0.87121212 0.12878788 0.12878788 0.87121212],[0.87281536 0.12718464 0.1311136  0.8688864 ]
[0.87363636 0.12636364 0.12636364 0.87363636],[0.86910875 0.13089125 0.12902555 0.87097445]
[0.87606061 0.12393939 0.12393939 0.87606061],[0.86473277 0.13526723 0.13767093 0.86232907]
[0.87848485 0.12151515 0.12151515 0.87848485],[0.8973983  0.1026017  0.10074348 0.89925652]
[0.88090909 0.11909091 0.11909091 0.88090909],[0.8833643  0.1166357  0.11008028 0.88991972]
[0.88333333 0.11666667 0.11666667 0.88333333],[0.89830736 0.10169264 0.10177387 0.89822613]
[0.88575758 0.11424242 0.11424242 0.88575758],[0.87807056 0.12192944 0.12382547 0.87617453]
[0.88818182 0.11181818 0.11181818 0.88818182],[0.87466733 0.12533267 0.11479557 0.88520443]
[0.89060606 0.10939394 0.10939394 0.89060606],[0.87810715 0.12189285 0.1000734  0.8999266 ]
[0.8930303 0.1069697 0.1069697 0.8930303],[0.89521112 0.10478888 0.11348307 0.88651693]
[0.89545455 0.10454545 0.10454545 0.89545455],[0.90484435 0.09515565 0.09481823 0.90518177]
[0.89787879 0.10212121 0.10212121 0.89787879],[0.90286687 0.09713313 0.08177073 0.91822927]
[0.90030303 0.09969697 0.09969697 0.90030303],[0.89564493 0.10435507 0.09508706 0.90491294]
[0.90272727 0.09727273 0.09727273 0.90272727],[0.91091326 0.08908674 0.0896684  0.9103316 ]
[0.90515152 0.09484848 0.09484848 0.90515152],[0.90884196 0.09115804 0.08849935 0.91150065]
[0.90757576 0.09242424 0.09242424 0.90757576],[0.91559905 0.08440095 0.08597937 0.91402063]
[0.91 0.09 0.09 0.91],[0.91392437 0.08607563 0.09204573 0.90795427]
[0.91242424 0.08757576 0.08757576 0.91242424],[0.9102755  0.0897245  0.09477029 0.90522971]
[0.91484848 0.08515152 0.08515152 0.91484848],[0.91546302 0.08453698 0.0865104  0.9134896 ]
[0.91727273 0.08272727 0.08272727 0.91727273],[0.90947873 0.09052127 0.09295312 0.90704688]
[0.91969697 0.08030303 0.08030303 0.91969697],[0.92010871 0.07989129 0.08558388 0.91441612]
[0.92212121 0.07787879 0.07787879 0.92212121],[0.92368019 0.07631981 0.07357196 0.92642804]
[0.92454545 0.07545455 0.07545455 0.92454545],[0.93243866 0.06756134 0.07012052 0.92987948]
[0.9269697 0.0730303 0.0730303 0.9269697],[0.93318994 0.06681006 0.07085671 0.92914329]
[0.92939394 0.07060606 0.07060606 0.92939394],[0.92962584 0.07037416 0.0708913  0.9291087 ]
[0.93181818 0.06818182 0.06818182 0.93181818],[0.93053354 0.06946646 0.06833244 0.93166756]
[0.93424242 0.06575758 0.06575758 0.93424242],[0.93683161 0.06316839 0.06125981 0.93874019]
[0.93666667 0.06333333 0.06333333 0.93666667],[0.93644153 0.06355847 0.06255225 0.93744775]
[0.93909091 0.06090909 0.06090909 0.93909091],[0.94057618 0.05942382 0.06271598 0.93728402]
[0.94151515 0.05848485 0.05848485 0.94151515],[0.94411288 0.05588712 0.06071197 0.93928803]
[0.94393939 0.05606061 0.05606061 0.94393939],[0.94250827 0.05749173 0.05631537 0.94368463]
[0.94636364 0.05363636 0.05363636 0.94636364],[0.94743604 0.05256396 0.05388433 0.94611567]
[0.94878788 0.05121212 0.05121212 0.94878788],[0.94463472 0.05536528 0.05594986 0.94405014]
[0.95121212 0.04878788 0.04878788 0.95121212],[0.95242304 0.04757696 0.04704288 0.95295712]
[0.95363636 0.04636364 0.04636364 0.95363636],[0.95459858 0.04540142 0.04551933 0.95448067]
[0.95606061 0.04393939 0.04393939 0.95606061],[0.95785515 0.04214485 0.04197936 0.95802064]
[0.95848485 0.04151515 0.04151515 0.95848485],[0.96029357 0.03970643 0.04370228 0.95629772]
[0.96090909 0.03909091 0.03909091 0.96090909],[0.96077755 0.03922245 0.03838592 0.96161408]
[0.96333333 0.03666667 0.03666667 0.96333333],[0.96522619 0.03477381 0.03420093 0.96579907]
[0.96575758 0.03424242 0.03424242 0.96575758],[0.96748313 0.03251687 0.03630575 0.96369425]
[0.96818182 0.03181818 0.03181818 0.96818182],[0.96835705 0.03164295 0.0311192  0.9688808 ]
[0.97060606 0.02939394 0.02939394 0.97060606],[0.97146154 0.02853846 0.0267048  0.9732952 ]
[0.9730303 0.0269697 0.0269697 0.9730303],[nan nan nan nan]
[0.97545455 0.02454545 0.02454545 0.97545455],[0.97471255 0.02528745 0.02571344 0.97428656]
[0.97787879 0.02212121 0.02212121 0.97787879],[0.97479382 0.02520618 0.02484231 0.97515769]
[0.98030303 0.01969697 0.01969697 0.98030303],[0.97845453 0.02154547 0.02122652 0.97877348]
[0.98272727 0.01727273 0.01727273 0.98272727],[0.98123906 0.01876094 0.01859146 0.98140854]
[0.98515152 0.01484848 0.01484848 0.98515152],[0.98473112 0.01526888 0.01249381 0.98750619]
[0.98757576 0.01242424 0.01242424 0.98757576],[0.98844814 0.01155186 0.0129651  0.9870349 ]
[0.99 0.01 0.01 0.99],[0.99006161 0.00993839 0.01007684 0.98992316]
